date,hour,demand
2021-03-01,0,49.44783151108148
2021-03-01,1,49.44783151108148
2021-03-01,2,49.44783151108148
2021-03-01,3,49.086551763051766
2021-03-01,5,51.40108605283606
2021-03-01,6,67.2579303659304
2021-03-01,7,67.2579303659304
2021-03-01,8,67.2579303659304
2021-03-01,9,89.23706954156954
2021-03-01,10,69.24086358086362
2021-03-01,11,75.95339314389315
2021-03-01,12,87.19845325045324
2021-03-01,13,88.87192439042438
2021-03-01,14,86.46364426640896
2021-03-01,15,89.1712910172616
2021-03-01,16,89.1712910172616
2021-03-01,17,88.76048288748288
2021-03-01,18,87.75491845735962
2021-03-01,19,92.36459790753906
2021-03-01,20,90.50781713221419
2021-03-01,21,78.16516773531475
2021-03-01,22,60.4947656047656
2021-03-01,23,58.34005716832187
2021-03-02,0,47.231428802678785
2021-03-02,1,47.231428802678785
2021-03-02,2,47.231428802678785
2021-03-02,4,48.491614071114086
2021-03-02,6,70.43207294557297
2021-03-02,7,70.43207294557297
2021-03-02,8,70.43207294557297
2021-03-02,9,86.25677461971577
2021-03-02,10,66.53809787053905
2021-03-02,11,76.10769007463125
2021-03-02,12,83.07284073334073
2021-03-02,13,85.0329636104636
2021-03-02,14,80.46532900730732
2021-03-02,15,83.62882172700587
2021-03-02,16,83.62882172700587
2021-03-02,17,86.3605642320642
2021-03-02,18,84.8975386465386
2021-03-02,19,84.31442981092977
2021-03-02,20,88.12848495132319
2021-03-02,21,74.04952382367082
2021-03-02,22,59.03599180449182
2021-03-02,23,56.497062311327014
2021-03-03,0,51.082902921152915
2021-03-03,2,51.082902921152915
2021-03-03,3,55.55797227772229
2021-03-03,4,54.37287647537648
2021-03-03,5,54.41484691234692
2021-03-03,6,71.72651731601732
2021-03-03,7,71.72651731601732
2021-03-03,8,71.72651731601732
2021-03-03,9,80.36428340069517
2021-03-03,10,61.900865134865136
2021-03-03,11,73.17079287379286
2021-03-03,12,73.59147328488505
2021-03-03,13,74.85104253045431
2021-03-03,14,73.05445187409197
2021-03-03,15,76.76895697955294
2021-03-03,16,76.76895697955294
2021-03-03,17,83.6948870562988
2021-03-03,18,84.50448630889807
2021-03-03,19,81.37449060090235
2021-03-03,20,83.93561163349321
2021-03-03,21,73.96889294039293
2021-03-03,22,72.472202001702
2021-03-03,23,63.37351472927943
2021-03-04,0,57.56049989824991
2021-03-04,1,57.56049989824991
2021-03-04,2,57.56049989824991
2021-03-04,4,57.522271460021464
2021-03-04,6,67.54096350871352
2021-03-04,7,67.54096350871352
2021-03-04,8,67.54096350871352
2021-03-04,9,75.78473423254306
2021-03-04,10,63.46397761062465
2021-03-04,11,76.38671742636448
2021-03-04,12,79.41808593149771
2021-03-04,13,79.71534577350756
2021-03-04,14,76.05177382747972
2021-03-04,15,77.05985049590932
2021-03-04,16,77.05985049590932
2021-03-04,17,89.35800593850594
2021-03-04,18,88.31328347578344
2021-03-04,19,81.32952389658271
2021-03-04,20,84.34008247311108
2021-03-04,21,76.07816424316421
2021-03-04,22,75.69807993857994
2021-03-04,23,67.6179892329892
2021-03-05,0,55.39746851296853
2021-03-05,1,55.39746851296853
2021-03-05,2,55.39746851296853
2021-03-05,3,57.150231916231945
2021-03-05,4,53.93089158989157
2021-03-05,5,51.15666716616715
2021-03-05,6,69.71057420357424
2021-03-05,7,69.71057420357424
2021-03-05,8,69.71057420357424
2021-03-05,9,76.76699319199315
2021-03-05,10,75.76262095312092
2021-03-05,11,91.24405862655865
2021-03-05,12,101.38571595996595
2021-03-05,13,99.85533948458946
2021-03-05,14,92.44205775596951
2021-03-05,15,95.79394765310944
2021-03-05,16,95.79394765310944
2021-03-05,17,107.93544973327324
2021-03-05,18,107.43386584493936
2021-03-05,19,96.81394030969032
2021-03-05,20,91.42828819766976
2021-03-05,21,75.75355748880747
2021-03-05,22,73.07263052688053
2021-03-05,23,65.60137543937542
2021-03-06,0,58.9368686400745
2021-03-06,1,58.9368686400745
2021-03-06,2,58.9368686400745
2021-03-06,4,52.00814912864913
2021-03-06,7,58.06237190587189
2021-03-06,8,58.06237190587189
2021-03-06,9,83.89827906298498
2021-03-06,10,88.73651981460807
2021-03-06,11,108.01523354532182
2021-03-06,12,131.75579863354872
2021-03-06,13,130.6799863192364
2021-03-06,14,127.89166694307868
2021-03-06,15,125.09844170535342
2021-03-06,16,125.09844170535342
2021-03-06,17,111.86241371591372
2021-03-06,18,113.61703132053137
2021-03-06,19,105.15580496409909
2021-03-06,20,90.72233588688002
2021-03-06,21,74.19976889015122
2021-03-06,22,68.51515274703507
2021-03-06,23,63.302737817737786
2021-03-07,0,53.89096247271245
2021-03-07,1,53.89096247271245
2021-03-07,2,53.89096247271245
2021-03-07,3,48.62299410774411
2021-03-07,4,51.447066886816884
2021-03-07,5,51.027094942094934
2021-03-07,7,53.241383893883906
2021-03-07,8,53.241383893883906
2021-03-07,9,80.85558179619946
2021-03-07,10,81.22155116180117
2021-03-07,11,106.4411870547753
